level,hitpoints,dps,wood,stone,iron,upgrade_time,hq_level_required
1,2,300,71,31,500,6,400,1,230,3h,9
2,2,500,78,44,000,9,000,1,720,4h,9
3,2,700,86,69,000,17,300,4,800,5h,10
4,3,000,95,94,000,34,000,9,800,6h,11
5,3,200,104,107,000,39,000,10,300,7h,11
6,3,500,115,161,000,76,000,19,800,8h,12
7,3,800,126,244,000,147,000,42,000,10h,13
8,4,200,139,340,000,295,000,81,000,14h,14
9,4,500,153,360,000,315,000,87,000,16h,14
10,4,900,167,620,000,470,000,172,000,22h,15
11,5,300,185,870,000,780,000,340,000,1d 4h,16
12,5,800,203,1,320,000,1,090,000,600,000,1d 8h,17
13,6,300,223,1,320,000,1,090,000,600,000,1d 8h,17
14,6,900,246,1,710,000,1,560,000,1,000,000,1d 12h,18
15,7,500,271,1,920,000,1,870,000,1,000,000,1d 14h,19
16,8,200,298,2,140,000,2,140,000,2,000,000,1d 18h,20
17,8,900,328,2,260,000,2,270,000,2,000,000,1d 22h,20
