level|hitpoints|dps|wood|stone|iron|upgrade_time|hq_level_required
1|1,600|20|3,300|N/A|N/A|1h|4
2|1,740|22|4,600|N/A|N/A|1h15m|4
3|1,890|25|8,800|N/A|N/A|1h45m|5
4|2,060|27|10,000|N/A|N/A|2h|5
5|2,240|30|13,000|1,200|N/A|2h15m|6
6|2,440|34|14,900|1,350|N/A|2h30m|6
7|2,700|36|22,500|3,700|N/A|3h|7
8|2,900|40|38,000|6,500|N/A|4h|8
9|3,100|44|60,000|12,300|2,350|5h|9
10|3,400|48|97,000|24,300|6,800|7h|10
11|3,700|53|134,000|49,000|12,900|8h|11
12|4,000|59|205,000|96,000|25,200|10h|12
13|4,400|65|295,000|177,000|50,000|12h|13
14|4,800|71|420,000|360,000|100,000|18h|14
15|5,200|78|730,000|550,000|201,000|1d|15
16|5,700|86|1,040,000|930,000|410,000|1d10h|16
17|6,200|95|1,510,000|1,240,000|700,000|1d14h|17
18|6,700|104|1,880,000|1,710,000|1,000,000|1d16h|18
19|7,300|115|2,150,000|2,090,000|1,000,000|1d20h|19
20|7,900|126|2,430,000|2,430,000|2,000,000|2d|20
