level|hitpoints|dps|wood|stone|iron|upgrade_time|hq_level_required
1|4,000|35|142,000|85,000|24,300|6h|13
2|4,400|39|198,000|119,000|34,000|8h|13
3|4,800|43|275,000|240,000|66,000|12h|14
4|5,200|47|275,000|240,000|66,000|12h|14
5|5,700|52|540,000|410,000|149,000|18h|15
6|6,300|57|760,000|680,000|298,000|1d|16
7|6,900|62|850,000|760,000|330,000|1d 2h|16
8|7,500|69|1,210,000|1,000,000|600,000|1d 6h|17
9|8,200|76|1,480,000|1,350,000|800,000|1d 8h|18
10|9,000|83|1,850,000|1,800,000|1,000,000|1d 14h|19
11|9,800|92|1,850,000|1,800,000|1,000,000|1d 14h|19
12|10,700|101|2,060,000|2,060,000|2,000,000|1d 18h|20
13|11,800|111|2,470,000|2,470,000|2,000,000|2d 2h|20
