level,hitpoints,dps,training_cost,research_cost,research_time,armory_level_required
1,1000,26,300,—,—,—
2,1,080,28,500,10,400,3h,1
3,1166,31,800,21,800,4h,2
4,1,260,33,1,100,47,000,7h,3
5,1,360,36,1,300,94,000,11h,4
6,1,469,40,2,100,159,000,15h,5
7,1,587,44,2,100,268,000,21h,6
8,1,714,46,2,500,420,000,1d4h,7
9,1,851,52,3,000,610,000,1d8h,8
10,1,999,56,3,500,720,000,1d8h,9
11,2,159,62,4,000,800,000,1d11h,10
12,2,332,67,4,500,1,100,000,1d20h,11
13,2,518,69,5,000,1,500,000,2d3h,12
14,2,720,80,5,500,1,700,000,2d3h,13
15,2,937,87,6,000,2,040,000,2d16h,14
16,3,712,95,6,500,2,810,000,2d20h,15
17,3,426,103,7,000,3,200,000,2d22h,16
18,3,700,104,8,000,3,600,000,3d7h,17
19,3,996,113,9,000,4,300,000,3d10h,18
20,4,316,134,10,000,5,600,000,3d14h,19
