level|hitpoints|dps|training_cost|research_cost|research_time|armory_level_required
1|50|80|220|—|—|—
2|54|88|330|17,100|4h|2
3|59|97|450|46,000|9h|3
4|67|106|600|99,000|12h|4
5|70|117|800|168,000|18h|5
6|76|129|1,000|284,000|1d1h|6
7|83|142|1,200|450,000|1d9h|7
8|90|156|1,400|650,000|1d13h|8
9|98|171|1,600|760,000|1d13h|9
10|107|189|1,800|850,000|1d17h|10
11|116|207|2,000|1,160,000|2d3h|11
12|126|228|2,200|1,540,000|2d12h|12
13|138|251|2,400|1,800,000|2d12h|13
14|150|276|2,600|2,160,000|3d3h|14
15|163|304|2,800|2,970,000|3d11h|15
16|177|334|3,000|3,400,000|3d11h|16
17|193|368|3,300|3,800,000|3d21h|17
18|210|404|3,600|4,500,000|4d|18
19|228|445|3,900|5,300,000|4d6h|19
20|248|489|4,200|6,100,000|4d8h|20
